Person writing,"Type

(lack of type indicates no type to be used in TEI)

This is a legacy of our early TEI. We keep this information and keep encoding it in new documents for the sake of consistency. It has no searchability or relevance and wasn't implemented rigorously. What I mean is that categories and labels aren't very good, and because of the sprawl of annotations did not end up being applied consistently.",Key,"Name

This is the title/label of the one liner and should match the text preceding the colon in the write-up itself.","Write-Up

The text preceding the colon in this column should match the text in the name/label column.","Sources & Notes

Wherever possible, the information in this column should be in the format of a citation rather than a single link. Full/formal citations are not necessary, but the goal should always be to allow someone else to follow the documentary/digital trail back to the item, whether or not its digital location has changed."
,eType,key,name,description,
Carina,"name type=""ship""",#sh_active,Active,<i>Active</i>: a steamer ship used by the US Coast Survey between 1852-61. It was one of the first two US Survey ships on the west coast.,"Cloud, John. ""The US Coast Survey in the Civil War."" Office of Coast Survey. June 2011. http://www.nauticalcharts.noaa.gov/history/CivilWar/docs/The_U_S_Coast_Survey_in_the_Civil_War_report.pdf"
Carina,"name type=""ship""",#sh_albatross,Albatross,"<i>Albatross</i>: an American ship, captained by New Englander Nathan Winship, that partnered with the Russian American Company. While Americans provided the ship, the RAC provided skilled Alaska Native hunters. The <i>Albatross</i>'s route ran along the Californian coast, between Russian-owned Alaska and California, and it sailed in the Pacific in the same years as the <i>Il’mena</i>.","Ogden, Adele. The California Sea Otter Trade 1784-1848. Berkeley and Los Angeles: University of California Press, 1941."
Baseball card,"name type=""ship""",#sh_alert,Alert,"<i>Alert</i>: a three-masted, 398-ton ship owned by Bryant, Sturgis & Company of Boston. During the nineteenth century, the <i>Alert</i> traded on the California coast. In May 1841, Captain William Dane Phelps wrote that he had contact with a Nicole&#241;o known as Black Hawk at San Pedro. Phelps also noted that another sea captain, Thomas Robbins, said that he had previously taken two Nicole&#241;as to San Pedro.",
Carina,"name type=""ship""",#sh_arcticstar,Arctic Star,"<i>Arctic Star</i>: a ship sailed along the Californian coast by Scott O’Dell with his wife and two other men. O’Dell’s book <i>The Cruise of the Arctic Star</i>, published in 1973, was inspired by this voyage. The novel recounts his trip along the coast while discussing California’s history.","""Cruise of the Arctic Star."" Scott O'Dell. Accessed May 03, 2016. http://www.scottodell.com/Pages/CruiseoftheArcticStar.aspx."
Carina,"name type=""ship""",#sh_avon,Avon,"<i>Avon</i>: a ship involved in the sea otter trade along the California coast, beginning in 1817. It was renamed <i>Trinidad</i> in 1842.","Ogden, Adele. The California Sea Otter Trade 1784-1848. Berkeley and Los Angeles: University of California Press, 1941."
Carina,"name type=""ship""",#sh_bolivar,Bolivar Liberator,"<i>Bolivar Liberator</i>: a 224-ton brig built by Alpheus Basil Thompson, an American who became a naturalized Mexican citizen; co-owned by Thompson, Farnham and Co., and John Coffin Jones; and captained by Gorham Hayden Nye in the early 1830s. The <i>Bolivar Liberator</i> engaged in coastal trade. In 1832, it carried horses to the Sandwich Islands (Hawaii).  It became involved in the otter trade beginning in 1834, with the ship’s crew (including George Nidever) hunting otters on San Nicolas and San Clemente Islands in 1843-44, a time overlapping with the Lone Woman's isolation. The brig was renamed <i>Oajaca</i> in 1843 and began sailing under the Mexican flag.","Ogden, Adele. The California Sea Otter Trade 1784-1848. Berkeley and Los Angeles: University of California Press, 1941. See also April 2018 Shore to Sea lecture at CINP and compiled research notes from Linda Bentz (Chinese Historical Society of Southern California)."
Sara,"name type=""ship""",#sh_charon,Charon,"<i>Charon</i>: a ship owned by the P.T. Jackson, of Boston. During the War of 1812, the <i>Charon</i> was captured by the British ship <i>Cherub</i> at the Sandwich Islands (Hawaii) in 1814. Some newspaper accounts incorrectly reported that it was the <i>Charon</i>, captained by Whittemore, that left the hunting party responsible for the massacre of the massacre of the Nicole&#241;os on San Nicolas Island in 1811. In reality, it was the <i>Il'mena</i>, a Russian American Company ship, in the year 1814.","Adele Ogden, California Sea Otter Trade, 164-65"
Sara,"name type=""ship""",#sh_convoy,Convoy,"<i>Convoy</i>: a 135-ton brig that was owned by Josiah Marshall of Boston in 1824 and then by John Coffin Jones in the early 1830s. It engaged in the Northwest and Pacific trade for many years. Richard Henry Dana describes an 1836 visit with its crew on the California Coast in his <i>Two Years Before the Mast</i>. At the time, many members of the otter-hunting crew were Tlingit.","Mary Malloy, ""Boston Men"" on the Northwest Coast: The American maritime Fur Trade, 1788-1844 (Limestone Press, 1998).  List of John Coffin Jones vessels, from Ogden MerchantTraders, provided by Linda Bentz."
Baseball card,"name type=""ship""",#sh_nidever,<i>Cora</i>,"<i>Cora</i>: the 16 1/95 ton burthen schooner George Nidever brought to San Nicolas Island with hunting groups in 1852 and 1853. During the summer 1853 trip, the Lone Woman made herself visible to one member of Nidever’s hunting party, Carl Dittman, and when the crew sailed for Santa Barbara at the end of the month’s hunt, the Lone Woman joined them.  Nidever had purchased the schooner together with two other men, James Alden and Thomas H. Stevens (lieutenants in the U.S. Coast Survey), in San Francisco in 1852.  They used the vessel for a variety of economic pursuits.","Chinese Historical Society presentation by Linda Bentz; forthcoming article co-authored by Linda and Susan Morris.  Maritime license for the Cora (in Linda Bentz research folder).  See Shore-to-Sea lecture at CINP, April 2018 for photo of maritime licence"
Sara,"name type=""ship""",#sh_euphemia,Euphemia,"<i>Euphemia</i>: a 133-ton brig built in Dundee, Scotland that sailed between 1834-50 under British, Hawaiian, and American flags. The <i>Euphemia</i> made voyages to Valparaiso (Chile), Callao (Peru), Hawaii, and Hong Kong, and it spent much of its time engaged in coastal California trade. The brig is connected to the Lone Woman’s story in two ways. In 1843, Carl Dittman joined the <i>Euphemia</i>’s crew in Liverpool for a commercial voyage chartered by merchants James Scott and John Wilson; although the ship was declared unseaworthy once it reached Hawaii, in 1844, Dittman joined the ship’s cargo on board the <i>Juanita</i>, which continued on to Alta California.  Dittman then settled in California, and in 1853, he would be part of the otter hunting party that brought the Lone Woman to Santa Barbara.  Meanwhile, the unseaworthy <i>Euphemia</i> was sold to William Heath Davis, Eliab Grimes, and Hiram Grimes.  In 1846, under this ownership, the <i>Euphemia</i> left Hawaii and anchored near San Nicolas Island to off-load most of its cargo in a strategy designed to avoid tariffs upon docking in California.  Crew member John Young was left behind on San Nicolas Island to guard the cargo; as a result, he spent two months on San Nicolas Island during the years of the Lone Woman’s isolation there.  Finally, in 1849, the <i>Euphemia</i> was sold by Heath to the town council of San Francisco, to be used as a prison. It served this purpose and simultaneously housed the mentally ill, effectively becoming the first asylum in the region.","
David W. Forbes, Hawaiian National Bibliography 1780-1900 vol. 1 (Ann Arbor: Honolulu University of Hawaii Press, 1999), 438; Adele Ogden, Trading Vessels on the California Coast, 1786–1848. Unpublished manuscript, 1979. (Bancroft Library, University of California, Berkeley, 1254-56); William Heath Davis Collection, Box 3, Folder 111, The Huntington Library, San Marino, California; James P. Delgado, “Gold Rush Jail: The Prison Ship Euphemia” California History 60, no. 2 (1981): 134-41.  See also Linda Bentz’s “Capsule History of Events for the Brig Euphemia.”"
